4.10, 332, 11
4.20, 333, 11
4.30, 333, 11
4.30, 333, 11
4.40, 334, 11
4.50, 335, 11
4.60, 336, 11
4.70, 337, 11
4.70, 337, 11
4.80, 338, 11
4.90, 339, 11
4.90, 339, 11
4.90, 339, 11
4.80, 338, 11
4.90, 339, 11
5.00, 340, 11
5.10, 341, 11
5.20, 342, 11
5.20, 342, 11
5.30, 343, 11
5.30, 343, 12
5.30, 343, 12
5.30, 343, 13
5.00, 340, 13
5.10, 341, 14
5.00, 340, 15
5.10, 341, 15
5.10, 341, 15
5.20, 342, 15
5.30, 343, 15
5.30, 343, 16
5.50, 345, 16
5.40, 344, 16
5.30, 343, 17
5.40, 344, 17
5.10, 341, 18
5.00, 340, 18
5.20, 342, 18
5.30, 343, 18
5.20, 342, 18
5.30, 343, 19
5.50, 345, 19
5.40, 344, 19
5.50, 345, 19
5.60, 346, 20
5.70, 347, 20
5.80, 348, 20
5.60, 346, 20
5.90, 349, 20
5.90, 349, 21
5.90, 349, 21
5.80, 348, 21
5.90, 349, 21
6.00, 350, 21
5.80, 348, 21
5.80, 348, 21
5.90, 349, 21
5.90, 349, 21
6.00, 350, 21
6.10, 351, 21
5.90, 349, 21
6.20, 352, 21
6.40, 354, 21
6.30, 353, 21
6.50, 355, 21
6.50, 355, 21
6.60, 356, 21
6.60, 356, 21
6.60, 356, 21
6.70, 357, 21
6.70, 357, 21
6.90, 359, 21
6.80, 358, 21
6.90, 359, 21
6.80, 358, 21
6.80, 358, 21
6.90, 359, 21
7.00, 360, 21
7.00, 360, 21
7.10, 362, 21
7.00, 360, 21
7.10, 362, 21
7.20, 363, 21
7.20, 363, 21
7.30, 364, 21
7.50, 366, 21
7.50, 366, 21
7.40, 365, 21
7.60, 367, 21
7.70, 368, 21
7.70, 368, 21
7.60, 367, 21
7.70, 368, 21
7.70, 368, 21
7.80, 369, 21
7.70, 368, 21
7.80, 369, 21
7.90, 371, 21
8.00, 372, 21
7.90, 371, 21
7.80, 369, 21
8.00, 372, 21
8.10, 373, 21
8.20, 374, 21
8.20, 374, 21
8.30, 375, 21
8.30, 375, 21
8.30, 375, 21
8.40, 377, 21
8.60, 379, 21
8.50, 378, 21
8.70, 380, 21
8.80, 381, 21
8.80, 381, 21
8.80, 381, 21
8.70, 380, 21
9.00, 384, 21
8.90, 383, 21
8.80, 381, 21
9.00, 384, 21
8.70, 380, 21
8.80, 381, 21
9.10, 385, 21
9.00, 384, 21
8.90, 383, 21
9.10, 385, 21
9.20, 386, 21
9.30, 388, 21
8.80, 381, 21
9.10, 385, 21
8.90, 383, 21
9.00, 384, 21
9.20, 386, 21
9.40, 389, 21
9.20, 386, 21
9.20, 386, 21
9.50, 390, 21
9.40, 389, 21
9.30, 388, 21
9.60, 392, 21
9.20, 386, 21
9.10, 385, 22
9.20, 386, 22
9.10, 385, 22
9.00, 384, 22
9.20, 386, 22
9.20, 386, 23
9.10, 385, 23
9.40, 389, 23
9.20, 386, 23
9.30, 388, 23
9.40, 389, 23
9.50, 390, 23
9.70, 393, 25
9.30, 388, 25
9.70, 393, 25
9.30, 388, 25
9.50, 390, 25
9.80, 394, 25
9.40, 389, 25
9.60, 392, 25
8.90, 383, 26
9.00, 384, 26
9.10, 385, 26
9.20, 386, 26
9.10, 385, 26
9.20, 386, 27
9.20, 386, 27
9.20, 386, 27
9.10, 385, 27
9.30, 388, 27
9.30, 388, 27
9.40, 389, 27
9.50, 390, 28
9.50, 390, 28
9.50, 390, 28
9.50, 390, 28
9.50, 390, 29
9.50, 390, 29
9.60, 392, 29
9.40, 389, 29
9.50, 390, 29
9.40, 389, 29
9.60, 392, 29
9.60, 392, 30
9.60, 392, 30
9.70, 393, 30
9.70, 393, 30
9.80, 394, 30
10.10, 398, 31
10.10, 398, 31
9.90, 396, 31
10.00, 397, 31
9.80, 394, 31
10.10, 398, 31
9.90, 396, 31
10.00, 397, 31
10.00, 397, 31
10.00, 397, 31
10.10, 398, 31
10.00, 397, 31
10.10, 398, 31
10.20, 400, 31
10.00, 397, 31
10.20, 400, 31
10.10, 398, 31
10.30, 401, 31
10.40, 402, 31
10.40, 402, 31
10.50, 404, 31
10.40, 402, 31
10.60, 405, 31
10.70, 407, 31
10.80, 408, 31
10.80, 408, 31
10.80, 408, 31
10.90, 409, 31
10.70, 407, 31
10.90, 409, 31
10.80, 408, 31
10.70, 407, 31
10.70, 407, 31
10.90, 409, 31
10.80, 408, 31
11.00, 411, 31
11.10, 412, 31
10.80, 408, 31
10.90, 409, 31
10.90, 409, 31
11.00, 411, 31
11.10, 412, 31
11.20, 414, 31
10.80, 408, 31
11.00, 411, 31
10.90, 409, 31
11.10, 412, 31
11.00, 411, 31
11.20, 414, 31
11.30, 415, 31
11.40, 417, 31
11.50, 418, 31
11.50, 418, 31
11.60, 420, 31
11.70, 421, 31
11.80, 423, 31
11.90, 424, 31
12.00, 426, 31
12.10, 427, 31
12.20, 429, 31
11.60, 420, 31
11.80, 423, 31
11.70, 421, 31
11.90, 424, 31
11.80, 423, 31
11.70, 421, 31
11.80, 423, 31
11.60, 420, 31
